product_id,product_name,product_type,year,week,banner,price_,week_year,mdlz_product
94,smøreost bacon tube,175 gr,2019,2,REMA,25.9,2019_2,False
94,smøreost bacon tube,175 gr,2019,2,SPAR,27.9,2019_2,False
94,smøreost bacon tube,175 gr,2019,2,EXTRA,25.9,2019_2,False
153,smøreost skinke tube,175 gr,2019,2,KIWI,24.5,2019_2,False
153,smøreost skinke tube,175 gr,2019,2,MENY,26.9,2019_2,False
153,smøreost skinke tube,175 gr,2019,2,OBS,26.2,2019_2,False
153,smøreost skinke tube,175 gr,2019,2,REMA,24.5,2019_2,False
153,smøreost skinke tube,175 gr,2019,2,SPAR,27.9,2019_2,False
153,smøreost skinke tube,175 gr,2019,2,EXTRA,24.5,2019_2,False
29,helmelk tine,1 liter,2019,2,KIWI,18.0,2019_2,False
29,helmelk tine,1 liter,2019,2,MENY,18.9,2019_2,False
29,helmelk tine,1 liter,2019,2,OBS,18.0,2019_2,False
29,helmelk tine,1 liter,2019,2,REMA,18.0,2019_2,False
29,helmelk tine,1 liter,2019,2,SPAR,19.4,2019_2,False
29,helmelk tine,1 liter,2019,2,EXTRA,18.0,2019_2,False
98,go morgen skogsbær,195 gr,2019,2,KIWI,12.9,2019_2,False
98,go morgen skogsbær,195 gr,2019,2,MENY,10.0,2019_2,False
98,go morgen skogsbær,195 gr,2019,2,OBS,13.9,2019_2,False
98,go morgen skogsbær,195 gr,2019,2,REMA,12.9,2019_2,False
98,go morgen skogsbær,195 gr,2019,2,SPAR,10.0,2019_2,False
98,go morgen skogsbær,195 gr,2019,2,EXTRA,12.9,2019_2,False
35,tine meierismør,1/2 kilo,2019,2,KIWI,31.9,2019_2,False
35,tine meierismør,1/2 kilo,2019,2,MENY,37.5,2019_2,False
35,tine meierismør,1/2 kilo,2019,2,OBS,35.5,2019_2,False
35,tine meierismør,1/2 kilo,2019,2,REMA,31.9,2019_2,False
35,tine meierismør,1/2 kilo,2019,2,SPAR,37.9,2019_2,False
35,tine meierismør,1/2 kilo,2019,2,EXTRA,34.9,2019_2,False
39,big one classic pizza,560 gr,2019,2,KIWI,54.9,2019_2,False
39,big one classic pizza,560 gr,2019,2,MENY,59.9,2019_2,False
39,big one classic pizza,560 gr,2019,2,OBS,57.0,2019_2,False
39,big one classic pizza,560 gr,2019,2,REMA,54.9,2019_2,False
39,big one classic pizza,560 gr,2019,2,SPAR,58.9,2019_2,False
39,big one classic pizza,560 gr,2019,2,EXTRA,54.9,2019_2,False
150,grandiosa hj.laget m/kjøttdeig 1 kg,med kjøttdeig,2019,2,KIWI,88.9,2019_2,False
150,grandiosa hj.laget m/kjøttdeig 1 kg,med kjøttdeig,2019,2,MENY,99.0,2019_2,False
150,grandiosa hj.laget m/kjøttdeig 1 kg,med kjøttdeig,2019,2,OBS,92.9,2019_2,False
150,grandiosa hj.laget m/kjøttdeig 1 kg,med kjøttdeig,2019,2,REMA,88.9,2019_2,False
150,grandiosa hj.laget m/kjøttdeig 1 kg,med kjøttdeig,2019,2,SPAR,99.9,2019_2,False
150,grandiosa hj.laget m/kjøttdeig 1 kg,med kjøttdeig,2019,2,EXTRA,92.9,2019_2,False
43,fiskepinner findus,750 gram,2019,2,KIWI,41.6,2019_2,False
43,fiskepinner findus,750 gram,2019,2,MENY,52.9,2019_2,False
43,fiskepinner findus,750 gram,2019,2,OBS,49.8,2019_2,False
43,fiskepinner findus,750 gram,2019,2,REMA,41.7,2019_2,False
43,fiskepinner findus,750 gram,2019,2,SPAR,49.9,2019_2,False
43,fiskepinner findus,750 gram,2019,2,EXTRA,41.6,2019_2,False
47,makrell i tomat,Stabburet,2019,2,KIWI,15.9,2019_2,False
47,makrell i tomat,Stabburet,2019,2,MENY,16.9,2019_2,False
47,makrell i tomat,Stabburet,2019,2,OBS,16.1,2019_2,False
47,makrell i tomat,Stabburet,2019,2,REMA,15.9,2019_2,False
47,makrell i tomat,Stabburet,2019,2,SPAR,16.9,2019_2,False
47,makrell i tomat,Stabburet,2019,2,EXTRA,15.9,2019_2,False
48,leverpostei,100 gr,2019,2,KIWI,9.9,2019_2,False
48,leverpostei,100 gr,2019,2,MENY,10.0,2019_2,False
48,leverpostei,100 gr,2019,2,OBS,10.9,2019_2,False
48,leverpostei,100 gr,2019,2,REMA,9.9,2019_2,False
48,leverpostei,100 gr,2019,2,SPAR,11.9,2019_2,False
48,leverpostei,100 gr,2019,2,EXTRA,10.9,2019_2,False
224,amerikansk gryte,188 gram,2019,2,KIWI,27.2,2019_2,False
224,amerikansk gryte,188 gram,2019,2,MENY,29.9,2019_2,False
224,amerikansk gryte,188 gram,2019,2,OBS,27.2,2019_2,False
224,amerikansk gryte,188 gram,2019,2,REMA,27.3,2019_2,False
224,amerikansk gryte,188 gram,2019,2,SPAR,31.9,2019_2,False
224,amerikansk gryte,188 gram,2019,2,EXTRA,27.2,2019_2,False
211,meksikansk tomatsuppe,Pose,2019,2,KIWI,20.9,2019_2,False
211,meksikansk tomatsuppe,Pose,2019,2,MENY,22.9,2019_2,False
211,meksikansk tomatsuppe,Pose,2019,2,OBS,21.7,2019_2,False
211,meksikansk tomatsuppe,Pose,2019,2,REMA,20.9,2019_2,False
211,meksikansk tomatsuppe,Pose,2019,2,SPAR,22.5,2019_2,False
211,meksikansk tomatsuppe,Pose,2019,2,EXTRA,20.9,2019_2,False
210,kremet blomkålsuppe,Pose,2019,2,KIWI,20.2,2019_2,False
210,kremet blomkålsuppe,Pose,2019,2,MENY,22.5,2019_2,False
210,kremet blomkålsuppe,Pose,2019,2,OBS,20.2,2019_2,False
210,kremet blomkålsuppe,Pose,2019,2,REMA,20.2,2019_2,False
210,kremet blomkålsuppe,Pose,2019,2,SPAR,21.9,2019_2,False
210,kremet blomkålsuppe,Pose,2019,2,EXTRA,20.2,2019_2,False
102,joikakaker,Hermetikk 800gr,2019,2,KIWI,42.9,2019_2,False
102,joikakaker,Hermetikk 800gr,2019,2,MENY,46.9,2019_2,False
102,joikakaker,Hermetikk 800gr,2019,2,OBS,42.9,2019_2,False
102,joikakaker,Hermetikk 800gr,2019,2,REMA,42.9,2019_2,False
102,joikakaker,Hermetikk 800gr,2019,2,SPAR,45.9,2019_2,False
102,joikakaker,Hermetikk 800gr,2019,2,EXTRA,42.9,2019_2,False
95,hamburgerdressing idun,470 gr flaske,2019,2,KIWI,19.9,2019_2,False
95,hamburgerdressing idun,470 gr flaske,2019,2,MENY,21.9,2019_2,False
95,hamburgerdressing idun,470 gr flaske,2019,2,OBS,19.9,2019_2,False
95,hamburgerdressing idun,470 gr flaske,2019,2,REMA,19.9,2019_2,False
95,hamburgerdressing idun,470 gr flaske,2019,2,SPAR,21.9,2019_2,False
95,hamburgerdressing idun,470 gr flaske,2019,2,EXTRA,19.9,2019_2,False
100,smacks honnikorn,375 gr,2019,2,KIWI,30.9,2019_2,False
100,smacks honnikorn,375 gr,2019,2,MENY,33.9,2019_2,False
100,smacks honnikorn,375 gr,2019,2,OBS,32.0,2019_2,False
100,smacks honnikorn,375 gr,2019,2,REMA,30.9,2019_2,False
100,smacks honnikorn,375 gr,2019,2,SPAR,33.9,2019_2,False
100,smacks honnikorn,375 gr,2019,2,EXTRA,30.9,2019_2,False
253,bixit original,300 gram,2019,2,KIWI,13.9,2019_2,False
253,bixit original,300 gram,2019,2,MENY,14.9,2019_2,False
253,bixit original,300 gram,2019,2,OBS,14.4,2019_2,False
253,bixit original,300 gram,2019,2,REMA,13.9,2019_2,False
253,bixit original,300 gram,2019,2,SPAR,14.9,2019_2,False
253,bixit original,300 gram,2019,2,EXTRA,13.9,2019_2,False
73,coca cola,"1,5 liter",2019,2,KIWI,34.9,2019_2,False
73,coca cola,"1,5 liter",2019,2,MENY,35.9,2019_2,False
73,coca cola,"1,5 liter",2019,2,OBS,34.9,2019_2,False
73,coca cola,"1,5 liter",2019,2,REMA,34.9,2019_2,False
73,coca cola,"1,5 liter",2019,2,SPAR,35.9,2019_2,False
73,coca cola,"1,5 liter",2019,2,EXTRA,34.9,2019_2,False
74,pepsi max,"1,5 liter",2019,2,KIWI,29.9,2019_2,False
74,pepsi max,"1,5 liter",2019,2,MENY,33.9,2019_2,False
74,pepsi max,"1,5 liter",2019,2,OBS,29.9,2019_2,False
74,pepsi max,"1,5 liter",2019,2,REMA,29.9,2019_2,False
74,pepsi max,"1,5 liter",2019,2,SPAR,35.9,2019_2,False
74,pepsi max,"1,5 liter",2019,2,EXTRA,29.9,2019_2,False
70,cheez doodles,120 gr,2019,2,KIWI,18.9,2019_2,False
