,product_id,product_name,product_type,price_KIWI,price_MENY,price_OBS,price_REMA 1000,price_SPAR,price_EXTRA,year,week
16,107,Lasagne Toro,310 gr Familiepakning,39.9,42.6,39.9,39.9,42.9,39.9,2019,6
17,49,Potetmos Mills,Vanlig,9.9,9.7,9.9,9.9,10.5,9.2,2019,6
18,127,Ertestuing 5 minutter Toro,164 gr,26.4,29.0,26.9,26.4,28.5,26.9,2019,6
19,103,Idun Sennep,490 gr,14.9,15.2,14.9,14.9,15.5,14.9,2019,6
20,53,Idun Ketchup,530 gr,12.9,14.3,12.9,12.9,14.5,12.9,2019,6
21,85,Piano Sjokoladepudding,1 liter,29.9,29.7,19.9,29.9,29.9,27.7,2019,6
22,86,Piano vaniljesaus,1 liter,37.8,40.9,24.9,37.8,39.9,37.8,2019,6
23,203,Wasa Rugsprø,200gr,12.9,12.1,12.9,12.9,13.5,11.6,2019,6
24,87,"Kelloggs Corn Flakes, Family",500 gr,27.9,28.9,27.9,27.9,28.5,27.9,2019,6
25,478,Solo Plastflaske,"1,5 liter",36.9,37.5,36.9,34.9,37.5,34.9,2019,6
26,381,Håndsåpe Lano Refill,300 ml,15.7,17.0,15.9,15.7,16.9,15.9,2019,6
27,390,JIF Baderom Spray,500 ml,34.9,35.8,34.6,34.9,35.9,33.5,2019,6
28,447,OMO Color Refill,490 ml,38.9,30.1,33.9,38.9,34.9,29.3,2019,6
29,278,Lion King sjokolade,60 gram,13.9,17.6,16.0,13.9,16.5,16.0,2019,6
30,163,Smash,200 gr,42.5,45.4,46.9,42.5,45.9,44.9,2019,6
31,363,Godt&Blandet,220 gr,45.4,49.9,54.25,45.4,47.9,45.5,2019,6
32,431,Mandelstang Freia,43 gr,14.9,15.9,15.9,14.9,15.5,15.9,2019,6
0,2,Bananer,1 kg løsvekt,22.9,25.6,16.52,22.9,19.9,22.9,2019,7
1,10,Champignon,1 kg,28.9,31.9,39.0,28.9,31.9,28.9,2019,7
2,8,Brokkoli,1 stk,9.9,14.9,15.5,9.9,14.9,9.9,2019,7
3,506,Kremost Krydder,125 gram,16.9,17.5,17.2,16.9,17.9,16.9,2019,7
4,181,Norvegia skivet,300gr,42.0,45.6,42.5,42.0,45.9,42.0,2019,7
5,153,Smøreost Skinke tube,175 gr,26.9,29.3,27.4,26.9,27.5,26.9,2019,7
6,24,Kjøttdeig billigste type,400 gr,39.9,31.9,39.9,39.9,37.9,39.9,2019,7
7,79,Karbonader Gilde,810 gr,79.3,87.0,82.53,79.3,85.9,79.29,2019,7
8,418,"Kulturmelk, Tine",1 liter,18.9,20.4,18.9,18.9,19.9,18.9,2019,7
9,28,Lettmelk Tine,1 liter,17.4,18.5,17.4,17.4,18.7,17.4,2019,7
10,96,Biola Blåbær,1 liter,31.6,33.7,32.3,31.6,33.5,31.9,2019,7
11,36,Melange margarin,500 gram,26.9,28.6,26.9,26.9,28.5,26.9,2019,7
12,17,Mills Majones,330 gr (2 poser),28.9,31.5,29.2,28.9,29.9,28.9,2019,7
13,18,Mills Kaviar,185 gr,19.9,21.9,19.9,19.9,21.9,19.9,2019,7
14,39,Big One Classic Pizza,560 gr,54.9,61.2,59.7,54.9,58.9,54.9,2019,7
15,133,Tyttebærsyltetøy Nora Hj.laget,400 gr,45.9,49.5,47.3,45.9,46.9,45.9,2019,7
16,519,"Bog, Gilde",325 gr,25.8,27.3,25.8,25.8,26.9,25.8,2019,7
17,148,Lofoten Fiskesuppe,69 gram,22.9,24.9,22.9,22.9,21.9,22.9,2019,7
18,211,Meksikansk tomatsuppe,Pose,22.9,24.7,22.9,22.9,23.5,22.9,2019,7
19,535,"Rømmedressing, Idun",470 gram,32.9,37.0,32.9,32.9,34.9,32.9,2019,7
20,395,"Jordbærgele, Freia",125 gram,18.9,19.9,18.9,18.9,19.5,18.9,2019,7
21,85,Piano Sjokoladepudding,1 liter,29.9,31.5,19.9,29.9,29.9,29.9,2019,7
22,86,Piano vaniljesaus,1 liter,37.8,40.9,24.9,37.8,39.9,37.8,2019,7
23,70,Cheez Doodles,120 gr,19.9,20.9,19.9,19.9,21.5,19.9,2019,7
24,447,OMO Color Refill,490 ml,38.9,42.5,40.1,38.9,42.9,38.9,2019,7
25,68,Smågodt,1 hg,14.9,15.9,14.9,14.9,16.9,14.9,2019,7
26,163,Smash,200 gr,42.5,45.9,42.5,42.5,39.9,42.5,2019,7
27,565,Godt&Blandet Supersur,200 gr,35.4,38.5,36.5,35.4,37.5,35.4,2019,7
28,116,Laban Seigmenn,300 gr,34.9,36.9,34.9,34.9,37.5,34.9,2019,7
29,208,Troika,66 gr,16.9,17.5,17.9,16.9,17.5,16.9,2019,7
30,209,Kvikk lunsj,47gr,15.9,17.0,15.9,15.9,16.9,15.9,2019,7
31,373,Hobby,48 gram,21.2,22.9,22.6,21.2,22.9,21.2,2019,7
32,334,Firkløver Freia,200 gr,39.9,42.9,39.9,39.9,42.9,39.9,2019,7
33,431,Mandelstang Freia,43 gr,14.9,15.9,15.4,14.9,15.9,14.9,2019,7
0,2,Bananer,1 kg løsvekt,24.9,27.9,25.6,24.9,19.9,24.9,2019,8
1,231,Avocado Moden,2 pk,39.9,39.9,41.1,39.9,41.9,39.9,2019,8
2,123,Paprika,1 kg løsvekt,59.9,67.1,61.7,59.9,62.9,59.9,2019,8
3,6,Agurk,1 stk,15.9,21.9,16.4,19.9,12.9,15.9,2019,8
4,176,Kinakål,stk,23.9,26.9,24.6,29.9,22.9,23.9,2019,8
5,9,Blomkål,1 stk,24.9,27.9,25.6,24.9,26.9,24.9,2019,8
6,461,"Pizzasaus, idun",290 gr,18.6,20.9,19.4,18.7,20.5,18.8,2019,8
7,549,Oyster Spring Onion,120 gr,17.9,12.9,16.5,16.5,18.5,16.5,2019,8
8,212,Fløtemysost,Skivet,19.7,22.3,20.6,19.8,21.5,19.9,2019,8
9,21,Revet ost original Tine,300gr,37.6,39.8,38.3,37.7,41.5,37.7,2019,8
10,454,Pepperoni Grilstad,100 gram,37.7,39.9,39.1,37.8,39.9,37.9,2019,8
11,16,Stjernebacon,140 gr,18.0,23.9,18.9,18.1,23.9,18.2,2019,8
12,24,Kjøttdeig billigste type,400 gr,39.9,39.9,39.9,39.9,39.9,39.9,2019,8
13,31,Kremfløte Tine,3 dl,16.6,18.3,16.7,16.6,18.9,16.7,2019,8
14,30,Skummet melk Tine,1 liter,16.9,17.2,15.0,16.9,15.7,16.9,2019,8
15,199,Tine Sjokomelk,1 lit,25.9,28.5,25.9,25.9,28.0,25.9,2019,8
16,218,Rislunsj m/bringebær & rips,150 gr,9.8,10.9,9.8,11.9,11.9,9.8,2019,8
17,35,Tine Meierismør,1/2 kilo,34.4,38.5,35.1,34.5,38.9,34.5,2019,8
18,39,Big One Classic Pizza,560 gr,54.7,58.5,56.9,54.8,57.9,54.8,2019,8
19,84,Bringebærsyltetøy Nora,400 gr hjemmelaget,25.7,27.9,26.7,25.7,27.9,25.8,2019,8
20,531,Spaghetti A la Capri,870 gram,24.6,26.7,24.7,24.7,26.9,24.7,2019,8
21,108,Betasuppe Toro,112 gr,22.7,24.9,16.9,22.8,23.9,22.9,2019,8
22,124,Bergensk Fiskesuppe Toro,81 gr,19.6,21.5,16.9,19.7,21.5,19.7,2019,8
23,110,Pizzafyll Tomat og løk,50 gr,17.6,19.5,17.7,17.7,18.9,17.7,2019,8
24,49,Potetmos Mills,Vanlig,9.7,10.5,9.9,9.8,10.5,9.9,2019,8
25,534,"Thousand Island, Idun",450 gram,27.6,30.7,27.7,27.7,29.9,27.7,2019,8
26,203,Wasa Rugsprø,200gr,12.6,13.7,12.8,12.7,13.9,12.8,2019,8
27,68,Smågodt,1 hg,14.9,17.9,14.9,14.9,16.9,16.8,2019,8
28,259,Bounty Trio,85 gr,15.7,12.9,15.8,15.8,16.9,15.8,2019,8
29,451,Panda Lakris,200 gr,36.2,39.9,37.7,36.3,39.5,36.3,2019,8
30,209,Kvikk lunsj,47gr,14.6,16.9,14.8,14.6,16.9,14.7,2019,8
31,334,Firkløver Freia,200 gr,39.9,42.9,39.9,39.9,29.9,39.9,2019,8
0,6,Agurk,1 stk,17.9,18.9,20.5,16.9,18.9,19.9,2019,9
1,10,Champignon,1 kg,38.7,38.9,39.0,35.0,49.0,37.9,2019,9
